CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
289991,State Highway,470A,17.000,,1/1/2023,01:03:00,CSP,,DOUGLAS,39.56477,-105.03725,C-470,AT,MM 17,Ran off right side,Non-Intersection,Concrete Highway Barrier,,,,Concrete Highway Barrier,Concrete Highway Barrier,Not Applicable,,0,0,2,0,0,0,0,1,TRUE,FALSE,FALSE,Curve Left,Level,Icy,Dark – Unlighted,Cloudy,,E03,East,,Out of Control,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,65,0,65,0,65,0,Followed Too Closely,,Not Observed,,29,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug  9 2023  7:28PM
290301,State Highway,470A,17.000,,1/1/2023,01:16:00,CSP,,DOUGLAS,39.56441,-105.034,C-470,AT,MM 17,Ran off right side,Non-Intersection,Guardrail End,Pedestrian,Other Non-Fixed Object (Describe in Narrative),,Guardrail End,Guardrail End,Not Applicable,,0,0,2,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Left,Level,Icy,Dark – Lighted,Clear,,E03,East,,Other (Describe in Narrative),,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,65,0,65,0,0,0,Careless Driving ,,Looked/Did Not See,,57,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,Yes - Observed,,Marijuana Not Suspected,,Yes - Observed,,,East,,Other (Describe in Narrative),No Specific Facility,No Specific Facility,,Shoulder/Roadside,,Pedestrian,,48,,M,,No Contributing Action,,No Apparent Contributing Factor,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,Coded,Completed,Aug 21 2023  3:08PM
297011,City Street,1038,BRADB,JORDA,1/1/2023,11:42:00,PPD,PARKER,DOUGLAS,39.51826,-104.79342,E BRADBURY RANCH DR,AT,S JORDAN RD,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Cloudy,,S02,South,East,Going Straight,Making Left Turn,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,14,5,14,5,Careless Driving ,No Contributing Action,,No Apparent Contributing Factor,16,42,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 15 2023 10:53PM
290552,County Road,4700,MCARU,QUEBE,1/1/2023,12:44:00,DSO,,DOUGLAS,39.52134,-104.91759,MCARUTHUR RANCH RD,AT,S QUEBEC ST,On Roadway,At Intersection,Rear to Side,,,,Rear to Side,Rear-End,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Lighted,Clear,,E01,East,East,Slowing,Stopped in Traffic,Pickup Truck/Utility Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,35,35,25,0,20,0,Other Contributing Action (Describe in Narrative),No Contributing Action,Distracted - Other Interior,No Apparent Contributing Factor,17,49,F,F,,,,,,,No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 16 2023  7:54PM
296090,State Highway,083A,59.786,,1/1/2023,14:53:00,PPD,PARKER,DOUGLAS,39.51887,-104.76509,S PARKER RD,N/O,E MAINSTREET ,On Roadway,Non-Intersection,Front to Rear,Front to Rear,,,Front to Rear,Rear-End,Not Applicable,,0,0,6,0,0,0,0,3,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,S03,South,South,Going Straight,Stopped in Traffic,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,15,0,15,0,Careless Driving ,No Contributing Action,Not Observed,No Apparent Contributing Factor,28,41,M,F,Child Restraint – Forward Facing,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),,No - Other Method,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 10 2023  6:54PM
296985,City Street,1038,GLENM,BLKE,1/1/2023,16:00:00,PPD,PARKER,DOUGLAS,39.51323,-104.71688,GLENMOOR DR,AT,23500 BLK E,Vehicle crossed center median into opposing lanes,Non-Intersection,Parked Motor Vehicle,,,,Parked Motor Vehicle,Parked Motor Vehicle,Not Applicable,,0,0,1,0,0,0,0,2,FALSE,FALSE,FALSE,,Downhill,Icy,Daylight,Clear,,E01,West,East,Going Straight,Parked,Pickup Truck/Utility Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,,FALSE,FALSE,25,0,10,0,10,0,Too Fast for Conditions,,Age/Driver Ability,,21,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 15 2023 10:46PM
293958,Interstate Highway,025A,167.300,,1/1/2023,18:20:00,CSP,,DOUGLAS,39.18565,-104.85012,I-25,AT,MM 167.3,On Roadway,Non-Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Icy,Dark – Unlighted,Clear,,N01,North,North,Going Straight,Going Straight,Pickup Truck/Utility Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,TRUE,FALSE,75,75,75,75,0,0,,No Contributing Action,,No Apparent Contributing Factor,,28,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 14 2023 11:22PM
297259,Interstate Highway,025A,182.650,,1/1/2023,22:50:00,CSP,,DOUGLAS,39.39191,-104.8599,I-25,AT,MM 182.65,Center median/ Island,Non-Intersection,Concrete Highway Barrier,,,,Concrete Highway Barrier,Concrete Highway Barrier,Not Applicable,,0,0,3,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Level,Snowy,Dark – Unlighted,Snow,Wind,SLS,South,,Out of Control,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,65,0,60,0,60,0,Too Fast for Conditions,,Asleep or Fatigued,,25,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 14 2023 11:42PM
297153,Interstate Highway,025A,187.207,,1/2/2023,00:05:00,CSP,,DOUGLAS,39.45433,-104.8754,I-25,N/O,SB OFF RAMP TO HAPPY CANYON RD,Center median/ Island,Non-Intersection,Concrete Highway Barrier,Concrete Highway Barrier,,,Concrete Highway Barrier,Concrete Highway Barrier,Not Applicable,,0,0,5,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Downhill,Snowy,Dark – Unlighted,Snow,Wind,SLS,South,,Out of Control,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,75,0,55,0,40,0,Too Fast for Conditions,,Driver Unfamiliar With Area,,44,,F,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 14 2023 11:40PM
288806,County Road,4700,DUNNI,PUTNA,1/2/2023,02:53:00,DSO,,DOUGLAS,39.53794,-104.94858,DUNNING CIR,S/O,PUTNAM ST,Vehicle crossed center median into opposing lanes,Non-Intersection,Side to Side-Opposite Direction,,,,Side to Side-Opposite Direction,Sideswipe Opposite Direction,Not Applicable,,0,0,5,0,0,0,0,2,FALSE,FALSE,FALSE,Curve Left,Uphill,Wet,Daylight,Clear,,W01,East,West,Negotiating a Curve,Negotiating a Curve,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,25,25,25,25,10,20,Careless Driving ,No Contributing Action,Distracted - Other Interior,No Apparent Contributing Factor,24,52,F,F,,,,,,,No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Aug 15 2023  7:13PM
