CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
1261062,County Road,4700,MEYER,STONE,1/1/2025,3:12:00,DSO,,DOUGLAS,39.52434,-105.00367,MEYERWOOD CIR,AT,STONE MOUNTAIN DR,Ran off left side,At Intersection,Curb,Overturning/Rollover,,,Overturning/Rollover,Curb,Not Applicable,,0,0,3,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Level,Dry,Dark – Lighted,Clear,,N01,East,,Making Left Turn,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,25,0,40,0,35,0,Over-Correcting/ Over-Steering,,Other Factor (Describe in Narrative),,17,,M,,,,Unknown,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:28PM
1260687,State Highway,067E,124.702,,1/1/2025,9:01:00,DSO,,DOUGLAS,39.411596,-104.990877,HWY 67,00730FSW,RAINBOW CREEK RD,On Roadway,Non-Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Uphill,Icy,Daylight,Clear,,W01,Southwest,Southwest,Passing,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,50,50,60,45,60,45,Careless Driving ,No Contributing Action,Other Factor (Describe in Narrative),No Apparent Contributing Factor,25,44,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:34PM
1259931,County Road,4700,ELMWO,GARWO,1/1/2025,22:15:00,DSO,,DOUGLAS,39.47453,-105.06865,7664 W ELMWOOD ST,00264FW,GARWOOD ST,On Roadway,Non-Intersection,Parked Motor Vehicle,,,,Parked Motor Vehicle,Parked Motor Vehicle,Not Applicable,,0,0,1,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,,WRS,Unknown,West,Other (Describe in Narrative),Parked,Passenger Car/Passenger Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,TRUE,TRUE,25,25,25,0,0,0,Other Contributing Action (Describe in Narrative),,No Apparent Contributing Factor,,33,,M,,Shoulder and Lap Belt,,Unknown,,N/A (Cars/Trucks),,No - Other Method,,Unknown,,No - Other Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:08PM
1263568,County Road,4700,KENDR,BURGU,1/2/2025,13:06:00,DSO,,DOUGLAS,39.541889,-104.994528,KENDRICK CASTILLO WY,00131FW,W BURGUNDY ST,On Roadway,Intersection Related,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Curve Left,Downhill,Dry,Daylight,Clear,,S01,Southeast,Southeast,Going Straight,Slowing,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,40,40,0,0,Careless Driving ,Other Contributing Action (Describe in Narrative),Aggressive Driving,Aggressive Driving,30,48,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 31 2025  7:33PM
1260353,County Road,4700,PINER,MEADO,1/2/2025,19:50:00,DSO,,DOUGLAS,39.439746,-104.748529,S PINERY DR,00200FNW,MEADOW VIEW LN,On Roadway,Non-Intersection,Wild Animal,,,,Wild Animal,Wild Animal,Not Applicable,DEER,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,,N01,Southeast,,Going Straight,,Passenger Car/Passenger Van,,No Special Function,,No Automation,,FALSE,FALSE,25,0,25,0,25,0,No Contributing Action,,No Apparent Contributing Factor,,26,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:24PM
1260376,County Road,4700,WILDC,MCART,1/3/2025,0:09:00,DSO,,DOUGLAS,39.52748,-104.94105,E WILDCAT RESERVE PKWY,AT,MCARTHUR RANCH RD,On Roadway,At Intersection,Front to Side,,,,Front to Side,Approach Turn,Approach Turn,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Lighted,Clear,,W01,Northwest,Southeast,Making Left Turn,Going Straight,SUV,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,20,20,0,0,Failed to Yield ROW,No Contributing Action,Age/Driver Ability,No Apparent Contributing Factor,16,16,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:29PM
1260464,County Road,4700,HIGHL,UNIVE,1/3/2025,14:44:00,DSO,,DOUGLAS,39.54497,-104.94467,E HIGHLANDS RANCH PKWY,AT,S UNIVERSITY BLVD,On Roadway,At Intersection,Front to Side,Side to Side-Same Direction,Side to Side-Same Direction,Front to Front,Front to Side,Broadside,Not Applicable,,0,3,1,0,3,0,0,4,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,N04,Northeast,Southeast,Going Straight,Going Straight,SUV,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,30,10,0,5,Failed to Stop at Signal,No Contributing Action,Driver Unfamiliar With Area,No Apparent Contributing Factor,56,62,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  4:38PM
1260363,County Road,4700,MACAN,CROWF,1/3/2025,17:27:00,DSO,,DOUGLAS,39.41957,-104.83397,MACANTA BLVD,AT,CROWFOOT VALLEY RD,On Roadway,At Intersection,Front to Side,,,,Front to Side,Broadside,Not Applicable,,0,1,4,1,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,,N02,Northwest,Northeast,Making Left Turn,Going Straight,Pickup Truck/Utility Van,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,15,50,15,50,Failed to Yield ROW,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,46,20,M,F,None,Shoulder and Lap Belt,Not Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 15 2025  4:12PM
1262211,County Road,4700,STARW,ROSEB,1/3/2025,21:30:00,DSO,,DOUGLAS,39.559404,-104.797079,STARWOOD LN,00005FN,N ROSEBUD PL,On Roadway,At Intersection,Parked Motor Vehicle,,,,Parked Motor Vehicle,Parked Motor Vehicle,Not Applicable,,0,0,1,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,,N01,West,North,Making Right Turn,Parked,Non-School Bus (nine occupants or more including driver) in commerce,Passenger Car/Passenger Van,Taxi,No Special Function,No Automation,,FALSE,FALSE,25,25,5,0,5,0,Improper Passing on Right,,Driver Inexperience,,37,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 21 2025  6:26PM
1262458,County Road,4700,PINED,INSPI,1/4/2025,5:50:00,DSO,,DOUGLAS,39.554906,-104.755575,PINE DR,0.25MN,INSPIRATION DR,On Roadway,Non-Intersection,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Fog,,N01,South,South,Going Straight,Going Straight,SUV,Passenger Car/Passenger Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,40,40,30,20,0,20,Careless Driving ,No Contributing Action,,No Apparent Contributing Factor,36,24,F,F,Shoulder and Lap Belt,Shoulder and Lap Belt,Unknown,Unknown,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 21 2025  6:25PM
