CUID,System Code,Rd_Number,Rd_Section,City_Street,Crash Date,Crash Time,Agency Id,City,County,Latitude,Longitude,Location 1,Link,Location 2,Location,Road Description,First HE,Second HE,Third HE,Fourth HE,MHE,Crash Type,Approach Overtaking Turn,Wild Animal,Number Killed,Number Injured,Injury 00,Injury 01,Injury 02,Injury 03,Injury 04,Total Vehicles,Secondary Crash,Construction Zone,School Zone,Road Contour Curves,Road Contour Grade,Road Condition,Lighting Conditions,Weather Condition,Weather Condition 2,Lane Position,TU-1 Direction,TU-2 Direction,TU-1 Movement,TU-2 Movement,TU-1 Type,TU-2 Type,TU-1 Special Function,TU-2 Special Function,TU-1 Autonomous Vehicle,TU-2 Autonomous Vehicle,TU-1 Hit And Run,TU-2 Hit And Run,TU-1 Speed Limit,TU-2 Speed Limit,TU-1 Estimated Speed,TU-2 Estimated Speed,TU-1 Speed,TU-2 Speed,TU-1 Driver Action,TU-2 Driver Action,TU-1 Human Contributing Factor,TU-2 Human Contributing Factor,TU-1 Age,TU-2 Age,TU-1 Sex ,TU-2 Sex,TU-1 Safety System Available ,TU-2 Safety System Available ,TU-1 Safety restraint Use,TU-2 Safety restraint Use,TU-1 Safety Helmet,TU-2  Safety Helmet,TU-1 Alcohol Suspected,TU-2 Alcohol Suspected,TU-1  Marijuana Suspected,TU-2 Marijuana Suspected,TU-1 Other Drugs Suspected ,TU-2 Other Drugs Suspected ,TU-1 NM Direction,TU-2 NM Direction,TU-1 NM Movement,TU-2 NM Movement,TU-1 NM Facility Available,TU-2 NM Facility Available,TU-1 NM Location ,TU-2 NM Location ,TU-1 NM Type,TU-2 NM Type,TU-1 NM Age ,TU-2 NM Age ,TU-1 NM Sex ,TU-2 NM Sex ,TU-1 NM Action ,TU-2 NM Action ,TU-1 NM Human Contributing Factor ,TU-2 NM Human Contributing Factor ,TU-1 NM Safety Helmet ,TU-2 NM Safety Helmet ,TU-1 NM Alcohol Suspected ,TU-2 NM Alcohol Suspected ,TU-1 NM Marijuana Suspected ,TU-2 NM Marijuana Suspected ,TU-1 NM Other Drugs Suspected ,TU-2 NM Other Drugs Suspected ,Record Status,Processing Status,Last Updated
1260678,City Street,0185,PLUMC,CROSS,1/1/2025,00:14:00,CRPD,CASTLE ROCK,DOUGLAS,39.338651,-104.862591,PLUM CREEK BLVD,AT,CROSSHAVEN PL,Center median/ Island,Non-Intersection,Light Pole/Utility Pole,Sign,,,Light Pole/Utility Pole,Light Pole/Utility Pole,Not Applicable,,0,0,2,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Downhill,Icy,Dark – Lighted,Clear,,S01,Southwest,,Out of Control,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,30,0,30,0,30,0,Too Fast for Conditions,,Driver Inexperience,,17,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,No - Observed,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:52PM
1267072,State Highway,083A,59.807,,1/1/2025,00:52:00,PPD,PARKER,DOUGLAS,39.519234,-104.765034,S PARKER RD,N/O,MAINSTREET,On Roadway,Non-Intersection,Front to Side,Overturning/Rollover,Curb,,Front to Side,Sideswipe Same Direction,Not Applicable,,0,1,6,0,1,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Lighted,Cloudy,,N01,North,North,Changing Lanes,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,80,45,65,45,Careless Driving ,No Contributing Action,Other Factor (Describe in Narrative),No Apparent Contributing Factor,22,29,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),Yes - SFST,No - Observed,Unknown,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Feb  1 2025 12:31AM
1261062,County Road,4700,MEYER,STONE,1/1/2025,03:12:00,DSO,,DOUGLAS,39.52434,-105.00367,MEYERWOOD CIR,AT,STONE MOUNTAIN DR,Ran off left side,At Intersection,Curb,Overturning/Rollover,,,Overturning/Rollover,Curb,Not Applicable,,0,0,3,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Right,Level,Dry,Dark – Lighted,Clear,,N01,East,,Making Left Turn,,SUV,,No Special Function,,No Automation,,FALSE,FALSE,25,0,40,0,35,0,Over-Correcting/ Over-Steering,,Other Factor (Describe in Narrative),,17,,M,,,,Unknown,,N/A (Cars/Trucks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:28PM
1260924,State Highway,470B,3.456,B,1/1/2025,07:23:00,CSP,PARKER,DOUGLAS,39.55254,-104.80935,E-470 EB OFF RAMP,AT,MM ,Ran off right side,Ramp,Fence,Fence,,,Fence,Fence,Not Applicable,,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,Curve Left,Uphill,Dry,Daylight,Clear,,ERS,West,,Out of Control,,Pickup Truck/Utility Van,,No Special Function,,No Automation,,FALSE,FALSE,75,0,10,0,0,0,Careless Driving ,,Asleep or Fatigued,,29,,M,,Shoulder and Lap Belt,,Properly Used,,N/A (Cars/Trucks),,Yes - SFST,,Marijuana Not Suspected,,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 13 2025 11:42PM
1260687,State Highway,067E,124.702,,1/1/2025,09:01:00,DSO,,DOUGLAS,39.411596,-104.990877,HWY 67,00730FSW,RAINBOW CREEK RD,On Roadway,Non-Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Uphill,Icy,Daylight,Clear,,W01,Southwest,Southwest,Passing,Going Straight,Passenger Car/Passenger Van,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,50,50,60,45,60,45,Careless Driving ,No Contributing Action,Other Factor (Describe in Narrative),No Apparent Contributing Factor,25,44,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:34PM
1266610,State Highway,083A,59.168,,1/1/2025,14:44:00,PPD,PARKER,DOUGLAS,39.509998,-104.763586,S PARKER RD,S/O,S TWENTY MILE RD,On Roadway,Intersection Related,Front to Rear,,,,Front to Rear,Rear-End,Not Applicable,,0,0,3,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,N01,North,North,Going Straight,Slowing,SUV,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,45,45,15,30,15,30,Followed Too Closely,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,21,72,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Feb  1 2025 12:29AM
1260700,Interstate Highway,025A,183.864,,1/1/2025,16:25:00,CSP,CASTLE ROCK,DOUGLAS,39.40807,-104.86538,I-25,AT,MM 183.864,On Roadway,Non-Intersection,Side to Side-Same Direction,Concrete Highway Barrier,Front to Rear,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,2,2,2,0,0,0,3,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,N02,South,South,Changing Lanes,Going Straight,SUV,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,65,65,90,70,70,70,Careless Driving ,No Contributing Action,Aggressive Driving,No Apparent Contributing Factor,18,70,M,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 13 2025 11:34PM
1259931,County Road,4700,ELMWO,GARWO,1/1/2025,22:15:00,DSO,,DOUGLAS,39.47453,-105.06865,7664 W ELMWOOD ST,00264FW,GARWOOD ST,On Roadway,Non-Intersection,Parked Motor Vehicle,,,,Parked Motor Vehicle,Parked Motor Vehicle,Not Applicable,,0,0,1,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Dark – Unlighted,Clear,,WRS,Unknown,West,Other (Describe in Narrative),Parked,Passenger Car/Passenger Van,Pickup Truck/Utility Van,No Special Function,No Special Function,No Automation,No Automation,TRUE,TRUE,25,25,25,0,0,0,Other Contributing Action (Describe in Narrative),,No Apparent Contributing Factor,,33,,M,,Shoulder and Lap Belt,,Unknown,,N/A (Cars/Trucks),,No - Other Method,,Unknown,,No - Other Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 14 2025  8:08PM
1542121,State Highway,083A,53.939,,1/2/2025,06:54:00,CSP,,DOUGLAS,39.436121,-104.760075,HWY 83,01500FS,S PINERY PKWY,On Roadway,Non-Intersection,Side to Side-Same Direction,,,,Side to Side-Same Direction,Sideswipe Same Direction,Not Applicable,,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,Straight,Uphill,Dry,Daylight,Clear,,N02,North,North,Changing Lanes,Going Straight,Passenger Car/Passenger Van,"Medium/Heavy Trucks, GVWR/GCWR 16,001 or over",No Special Function,Construction Equipment,No Automation,No Automation,FALSE,FALSE,55,55,30,55,20,55,Lane Violation,No Contributing Action,Looked/Did Not See,No Apparent Contributing Factor,64,45,F,M,Shoulder and Lap Belt,Shoulder and Lap Belt,Properly Used,Properly Used,N/A (Cars/Trucks),N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jul 15 2025  1:01AM
1259792,State Highway,470A,19.875,D,1/2/2025,11:10:00,CSP,,DOUGLAS,39.56556,-104.98249,C-470 WB OFF RAMP,AT,MM 19.875,On Roadway,Ramp,Front to Rear,Overturning/Rollover,,,Front to Rear,Rear-End,Not Applicable,,0,1,1,0,1,0,0,2,FALSE,FALSE,FALSE,Straight,Level,Dry,Daylight,Clear,,W01,West,West,Changing Lanes,Changing Lanes,Motorcycle,SUV,No Special Function,No Special Function,No Automation,No Automation,FALSE,FALSE,65,65,65,40,65,40,No Contributing Action,No Contributing Action,No Apparent Contributing Factor,No Apparent Contributing Factor,25,30,M,F,N/A (e.g. Motorcycle),Shoulder and Lap Belt,Properly Used,Properly Used,Helmet Properly used,N/A (Cars/Trucks),No - Observed,No - Observed,Marijuana Not Suspected,Marijuana Not Suspected,No - Observed,No - Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,Coded,Completed,Jan 13 2025 11:40PM
