Casetrackingid,Accidentdate,Accidenttime,Numberkilled,Numberinjured,Totalvehicles,Totalnonmotorists,Juvenilesinvolvedindicator,Secondarycrashindicator,Constructionzoneindicator,Schoolzoneindicator,Latitude,Longitude,Onroadaddress,_Primarystreet,_Crossstreet,Location,Numberoflanesblocked,Laneposition,Harmfulevent1,Harmfulevent2,Harmfulevent3,Harmfulevent4,Mostharmfulevent,Roadcontourcurves,Roadcontourgrade,Approachovertakingturn,Lightingcondition,Roaddescription,Roadcondition,Weathercondition1,Weathercondition2,Hitandrun_V1,Noncontact_V1,Parked_V1,Unlicenseddriver_V1,Duiindicator_V1,Vehicledefectcondition_V1,Positioninvehicle_D1,Drivingrestrictions_D1,Drivingendorsements_D1,Ejectionpath_D1,Safetyequipmentuse_D1,Safetyequipmenthelmet_D1,Age_D1,Airbagdeployment_D1,Injuryseverity_D1,Alcoholsuspected_D1,Marijuanasuspected_D1,Otherdrugssuspected_D1,Testedforotherdrugs_D1,Personsexcode_D1,Deadatscene_D1,Vehicletype_V1,Specialfunction_V1,Emergencylightsactivated_V1,Directionoftravel_V1,Vehiclemovement_V1,Roadwayspeedlimit_V1,Estimatedvehiclespeed_V1,Driverstatedspeed_V1,Driveraction1_V1,Driveraction2_V1,Mostapprthumancontrfactor1_V1,Mostapprthumancontrfactor2_V1,Mostapprthumancontrfactor3_V1,Autonomousvehiclecapability_V1,Drivercededcontrol_V1,Nonmotoristtype_V1,Nonmotoristmovement_V1,Nonmotoristlocation_V1,Nonmotoristlegofint_V1,Nonmotoristtypeoffacility_V1,Nonmotoristaction1_V1,Nonmotoristaction2_V1,Nonmotoristcontrfctr1_V1,Nonmotoristcontrfctr2_V1,Nonmotoristcontrfctr3_V1,Hitandrun_V2,Noncontact_V2,Parked_V2,Unlicenseddriver_V2,Duiindicator_V2,Vehicledefectcondition_V2,Positioninvehicle_D2,Drivingrestrictions_D2,Drivingendorsements_D2,Ejectionpath_D2,Safetyequipmentuse_D2,Safetyequipmenthelmet_D2,Age_D2,Airbagdeployment_D2,Injuryseverity_D2,Alcoholsuspected_D2,Marijuanasuspected_D2,Otherdrugssuspected_D2,Testedforotherdrugs_D2,Personsexcode_D2,Vehicletype_V2,Specialfunction_V2,Emergencylightsactivated_V2,Directionoftravel_V2,Vehiclemovement_V2,Roadwayspeedlimit_V2,Estimatedvehiclespeed_V2,Driverstatedspeed_V2,Driveraction1_V2,Driveraction2_V2,Mostapprthumancontrfactor1_V2,Mostapprthumancontrfactor2_V2,Mostapprthumancontrfactor3_V2,Autonomousvehiclecapability_V2,Drivercededcontrol_V2,Nonmotoristtype_V2,Nonmotoristmovement_V2,Nonmotoristlocation_V2,Nonmotoristlegofint_V2,Nonmotoristtypeoffacility_V2,Nonmotoristaction1_V2,Nonmotoristaction2_V2,Nonmotoristcontrfctr1_V2,Nonmotoristcontrfctr2_V2,Nonmotoristcontrfctr3_V2,Hitandrun_V3,Noncontact_V3,Parked_V3,Unlicenseddriver_V3,Duiindicator_V3,Positioninvehicle_D3,Drivingrestrictions_D3,Drivingendorsements_D3,Ejection_D3,Safetyequipmentuse_D3,Age_D3,Airbagdeployment_D3,Injuryseverity_D3,Alcoholsuspected_D3,Marijuanasuspected_D3,Otherdrugssuspected_D3,Testedforotherdrugs_D3,Personsexcode_D3,Vehicletype_V3,Specialfunction_V3,Emergencylightsactivated_V3,Directionoftravel_V3,Vehiclemovement_V3,Roadwayspeedlimit_V3,Estimatedvehiclespeed_V3,Driverstatedspeed_V3,Driveraction1_V3,Driveraction2_V3,Mostapprthumancontrfactor1_V3,Mostapprthumancontrfactor2_V3,Mostapprthumancontrfactor3_V3,Autonomousvehiclecapability_V3,Drivercededcontrol_V3,Nonmotoristtype_V3,Nonmotoristmovement_V3,Nonmotoristlocation_V3,Nonmotoristlegofint_V3,Nonmotoristtypeoffacility_V3,Nonmotoristaction1_V3,Nonmotoristaction2_V3,Nonmotoristcontrfctr1_V3,Nonmotoristcontrfctr2_V3,Nonmotoristcontrfctr3_V3
250000008,1/1/2025 3:12:00 AM,1/1/2025 3:12:00 AM,0.00,0.00,1.00,0.00,true,false,false,false,39.52,-105.00,,STONE MOUNTAIN DR,MEYERWOOD CIR,On-roadway,2.00,1,Overturning/Rollover,Curb,,,Overturning/Rollover,Curve Right,Level,Approach Turn,Dark-lighted,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",17.00,Not Deployed,No Apparent Injury,Yes SFST,Marijuana Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,East,Making Right Turn,25.00,40.00,35.00,Over-Correcting / Over-Steering,,Other Factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000247,1/1/2025 10:15:00 PM,1/1/2025 10:15:00 PM,1.00,0.00,1.00,0.00,false,false,false,false,39.23,-104.77,9200.00,SPRING VALLEY RD,,Ran off right side,0.00,1,Embankment,Large Rocks or Boulder,,,Large Rocks or Boulder,Straight,Uphill,Not Applicable,Dark-unlighted,Non-intersection,Sand/Gravel,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Compliance Not Known,None,Not Ejected/Not Applicable,Unknown,"N/A Cars, truck, etc.",18.00,Unknown,Fatal Injury,No Other Method,Unknown,No Observed,Not Tested,m,true,Passenger Car/Passenger Van,No Special Function,false,North,Out of Control,35.00,90.00,,Reckless Driving,Speeding,Other Factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000286,1/1/2025 10:15:00 PM,1/1/2025 10:15:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.47,-105.07,7664.00,ELMWOOD ST,,Ran off left side,0.00,,Parked Motor Vehicle,,,,Parked Motor Vehicle,Straight,Level,Not Applicable,Dark-unlighted,Non-intersection,Dry,Clear,,true,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Unknown,"N/A Cars, truck, etc.",33.00,Unknown,No Apparent Injury,No Other Method,Unknown,No Other Method,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,Northwest,Backing,25.00,25.00,,Other Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,true,,,,,,,,,,,,,,,,,,Pickup Truck/Utility Van,No Special Function,false,West,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000411,1/2/2025 12:32:00 PM,1/2/2025 12:32:00 PM,0.00,1.00,1.00,1.00,true,false,false,false,39.53,-105.02,10200.00,WESTRIDGE VILLAGE PKWY,,On-roadway,2.00,1,Pedestrian,,,,Pedestrian,Curve Left,Level,Not Applicable,Daylight,Non-intersection,Dry,Clear,,true,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Unknown,"N/A Cars, truck, etc.",20.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,South,Going Straight,25.00,15.00,0.00,Other Contributing Action,,Other Factor,,,No Automation,,Pedestrian,Other,Marked Bicycle Lane,South,,Other,,Other Factor,,,,,,,,,,,,,,"N/A Cars, truck, etc.",15.00,,Suspected Serious Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000424,1/2/2025 1:06:00 PM,1/2/2025 1:06:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.54,-104.99,,KENDRICK CASTILLO WAY,BURGUNDY ST,On-roadway,0.00,1,Front to Rear,,,,Front to Rear,Curve Left,Downhill,Not Applicable,Daylight,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",30.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,East,Making Left Turn,40.00,40.00,,Careless Driving,Followed Too Closely,Aggressive Driving,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",48.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,SUV,No Special Function,false,East,Making Left Turn,40.00,40.00,,Other Contributing Action,,Aggressive Driving,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000514,1/2/2025 7:50:00 PM,1/2/2025 7:50:00 PM,0.00,0.00,1.00,0.00,false,false,false,false,39.44,-104.75,7100.00,SOUTH PINERY DR,,On-roadway,0.00,1,Wild Animal,,,,Wild Animal,Straight,Level,Not Applicable,Dark-unlighted,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",26.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Passenger Car/Passenger Van,No Special Function,false,South,Going Straight,25.00,25.00,25.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000567,1/3/2025 9:00:00 AM,1/3/2025 9:00:00 AM,0.00,0.00,2.00,0.00,true,false,false,false,39.53,-104.94,,WILDCAT RESERVE PKWY,MCARTHUR RANCH RD,On-roadway,2.00,1,Front to Side,,,,Front to Side,Straight,Level,Approach Turn,Dark-lighted,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Deployed at pos. and others,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,,SUV,No Special Function,false,North,Making Left Turn,40.00,20.00,,Failed to Yield ROW,,Age / Driver Ability,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",16.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Passenger Car/Passenger Van,No Special Function,false,South,Going Straight,40.00,20.00,,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000741,1/3/2025 2:44:00 PM,1/3/2025 2:44:00 PM,0.00,3.00,4.00,0.00,false,false,false,false,39.54,-104.94,,COLORADO BLVD,UNIVERSITY BLVD,On-roadway,7.00,4,Front to Side,Side to Side - Same Direction,Side to Side - Same Direction,Front to Front,Front to Side,Straight,Level,Not Applicable,Daylight,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",56.00,Not Equipped,Suspected Minor Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,SUV,No Special Function,false,East,Going Straight,45.00,30.00,,Failed to Stop at Signal,,Driver Unfamiliar With Area,Looked / Did Not See,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",62.00,Not Deployed,Suspected Minor Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,Pickup Truck/Utility Van,No Special Function,false,South,Going Straight,45.00,10.00,5.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,false,false,false,false,false,Driver,None,None,No,Properly used,48.00,Deployed at pos. and others,Suspected Minor Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,SUV,No Special Function,false,South,Going Straight,45.00,10.00,10.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,
250000788,1/3/2025 5:27:00 PM,1/3/2025 5:27:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.42,-104.83,,CROWFOOT VALLEY RD,MACANTA BLVD,On-roadway,2.00,2,Front to Side,,,,Front to Side,Straight,Level,Approach Turn,Dark-unlighted,At Intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",46.00,Not Equipped,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Pickup Truck/Utility Van,No Special Function,false,North,Making Left Turn,45.00,15.00,15.00,Failed to Yield ROW,,Looked / Did Not See,,,No Automation,,,,,,,,,,,,false,false,false,false,false,No Vehicle Defects,Driver,None,None,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",20.00,Deployed at pos. only,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,f,Passenger Car/Passenger Van,No Special Function,false,East,Going Straight,45.00,50.00,50.00,No Contributing Action,,No apparent contributing factor,,,No Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000827,1/3/2025 9:30:00 PM,1/3/2025 9:30:00 PM,0.00,0.00,2.00,0.00,false,false,false,false,39.56,-104.80,8651.00,ROSEBUD PL,,On-roadway,0.00,1,Side to Side - Same Direction,,,,Side to Side - Same Direction,Straight,Level,Not Applicable,Dark-unlighted,Non-intersection,Dry,Clear,,false,false,false,false,false,No Vehicle Defects,Driver,Complied With,Complied With,Not Ejected/Not Applicable,Properly used,"N/A Cars, truck, etc.",37.00,Not Deployed,No Apparent Injury,No Observed,Marijuana Not Suspected,No Observed,Not Tested,m,,Non-school Bus 9 occupants or more including driver in commerce,Taxi,false,North,Making Right Turn,25.00,5.00,5.00,Improper Passing on Right,,Driver Inexperience,Driver Unfamiliar With Area,,No Automation,,,,,,,,,,,,false,false,true,,,,,,,,,,,,,,,,,,Passenger Car/Passenger Van,No Special Function,false,North,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
