Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file
1260678,1/1/2025,2025,0014,O,0,0,0,0,Fixed Object - Off Road,Clear,Dark – Lighted,Icy,"Curve Right, Downhill",Non-Intersection,Non-Intersection,PLUM CREEK BLVD,NonVDOT secondary,,,-104.862591,39.338651,DOUGLAS,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Light Pole/Utility Pole,Center median/ Island,0,,,colorado,City Street,CRPD,0185,PLUM CREEK BLVD,CROSSHAVEN PL,CASTLE ROCK,crashlens_u5p9stw5.csv
1267072,1/1/2025,2025,0052,B,0,0,1,0,Sideswipe - Same Direction,Cloudy,Dark – Lighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,S PARKER RD,Primary,,59.807,-104.765034,39.519234,DOUGLAS,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Front to Side,On Roadway,1,,,colorado,State Highway,PPD,083A,S PARKER RD,MAINSTREET,PARKER,crashlens_u5p9stw5.csv
1261062,1/1/2025,2025,0312,O,0,0,0,0,Fixed Object - Off Road,Clear,Dark – Lighted,Dry,Curve Right,At Intersection,Intersection,MEYERWOOD CIR,NonVDOT secondary,MEYERWOOD CIR & STONE MOUNTAIN DR,,-105.00367,39.52434,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Curb,Ran off left side,0,,,colorado,County Road,DSO,4700,MEYERWOOD CIR,STONE MOUNTAIN DR,,crashlens_u5p9stw5.csv
1260924,1/1/2025,2025,0723,O,0,0,0,0,Fixed Object - Off Road,Clear,Daylight,Dry,"Curve Left, Uphill",Ramp,Ramp,E-470 EB OFF RAMP,Primary,,3.456,-104.80935,39.55254,DOUGLAS,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,Fence,Ran off right side,0,,,colorado,State Highway,CSP,470B,E-470 EB OFF RAMP,MM,PARKER,crashlens_u5p9stw5.csv
1260687,1/1/2025,2025,0901,O,0,0,0,0,Sideswipe - Same Direction,Clear,Daylight,Icy,Uphill,Non-Intersection,Non-Intersection,HWY 67,Primary,,124.702,-104.990877,39.411596,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Side to Side-Same Direction,On Roadway,0,,,colorado,State Highway,DSO,067E,HWY 67,RAINBOW CREEK RD,,crashlens_u5p9stw5.csv
1266610,1/1/2025,2025,1444,O,0,0,0,0,Rear End,Clear,Daylight,Dry,Straight/Level,Intersection Related,Intersection,S PARKER RD,Primary,S PARKER RD & S TWENTY MILE RD,59.168,-104.763586,39.509998,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,State Highway,PPD,083A,S PARKER RD,S TWENTY MILE RD,PARKER,crashlens_u5p9stw5.csv
1260700,1/1/2025,2025,1625,C,0,0,0,2,Sideswipe - Same Direction,Clear,Daylight,Dry,Straight/Level,Non-Intersection,Non-Intersection,I-25,Interstate,,183.864,-104.86538,39.40807,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,,Side to Side-Same Direction,On Roadway,2,,,colorado,Interstate Highway,CSP,025A,I-25,MM 183.864,CASTLE ROCK,crashlens_u5p9stw5.csv
1259931,1/1/2025,2025,2215,O,0,0,0,0,Other,Clear,Dark – Unlighted,Dry,Straight/Level,Non-Intersection,Non-Intersection,7664 W ELMWOOD ST,NonVDOT secondary,,,-105.06865,39.47453,DOUGLAS,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Parked Motor Vehicle,On Roadway,0,,,colorado,County Road,DSO,4700,7664 W ELMWOOD ST,GARWOOD ST,,crashlens_u5p9stw5.csv
1542121,1/2/2025,2025,0654,O,0,0,0,0,Sideswipe - Same Direction,Clear,Daylight,Dry,Uphill,Non-Intersection,Non-Intersection,HWY 83,Primary,,53.939,-104.760075,39.436121,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Side to Side-Same Direction,On Roadway,0,,,colorado,State Highway,CSP,083A,HWY 83,S PINERY PKWY,,crashlens_u5p9stw5.csv
1259792,1/2/2025,2025,1110,B,0,0,1,0,Rear End,Clear,Daylight,Dry,Straight/Level,Ramp,Ramp,C-470 WB OFF RAMP,Primary,,19.875,-104.98249,39.56556,DOUGLAS,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,1,,,colorado,State Highway,CSP,470A,C-470 WB OFF RAMP,MM 19.875,,crashlens_u5p9stw5.csv
