Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Relation To Roadway,Vehicle Count,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file,_co_total_vehicles,_co_mhe,_co_crash_type,_co_link,_co_second_he,_co_third_he,_co_wild_animal,_co_secondary_crash,_co_weather2,_co_lane_position,_co_injury00_uninjured,_co_tu1_direction,_co_tu1_movement,_co_tu1_vehicle_type,_co_tu1_speed_limit,_co_tu1_estimated_speed,_co_tu1_stated_speed,_co_tu1_driver_action,_co_tu1_human_factor,_co_tu1_age,_co_tu1_sex,_co_tu2_direction,_co_tu2_movement,_co_tu2_vehicle_type,_co_tu2_speed_limit,_co_tu2_estimated_speed,_co_tu2_stated_speed,_co_tu2_driver_action,_co_tu2_human_factor,_co_tu2_age,_co_tu2_sex,_co_nm1_type,_co_nm1_age,_co_nm1_sex,_co_nm1_action,_co_nm1_movement,_co_nm1_location,_co_nm1_facility,_co_nm1_contributing_factor,_co_nm2_type,_co_nm2_age,_co_nm2_sex,_co_nm2_action,_co_nm2_movement,_co_nm2_location,_co_nm2_facility,_co_nm2_contributing_factor
1261062,1/1/2025,2025,0312,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,2. Curve - Level,"1. Two-Way, Not Divided",4. Four Approaches,MEYERWOOD CIR,NonVDOT secondary,MEYERWOOD CIR & STONE MOUNTAIN DR,,-105.00367,39.52434,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,2. County Hwy Agency,27. Curb,4. Roadside,9. Within Intersection,1,0,0,0,colorado,County Road,DSO,4700,MEYERWOOD CIR,STONE MOUNTAIN DR,,crashlens_u5p9stw5.csv,1,Overturning/Rollover,Curb,AT,Overturning/Rollover,,,FALSE,,N01,3,East,Making Left Turn,SUV,25,40,35,Over-Correcting/ Over-Steering,Other Factor (Describe in Narrative),17,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1260687,1/1/2025,2025,0901,O,0,0,0,0,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,5. Ice,3. Grade - Straight,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,HWY 67,Primary,,124.702,-104.990877,39.411596,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,State Highway,DSO,067E,HWY 67,RAINBOW CREEK RD,,crashlens_u5p9stw5.csv,2,Side to Side-Same Direction,Sideswipe Same Direction,00730FSW,,,,FALSE,,W01,2,Southwest,Passing,Passenger Car/Passenger Van,50,60,60,Careless Driving,Other Factor (Describe in Narrative),25,M,Southwest,Going Straight,SUV,50,45,45,No Contributing Action,No Apparent Contributing Factor,44,M,,,,,,,,,,,,,,,,
1259931,1/1/2025,2025,2215,O,0,0,0,0,16. Other,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,7664 W ELMWOOD ST,NonVDOT secondary,,,-105.06865,39.47453,DOUGLAS,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,6. Parked Vehicle,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,County Road,DSO,4700,7664 W ELMWOOD ST,GARWOOD ST,,crashlens_u5p9stw5.csv,2,Parked Motor Vehicle,Parked Motor Vehicle,00264FW,,,,FALSE,,WRS,1,Unknown,Other (Describe in Narrative),Passenger Car/Passenger Van,25,25,0,Other Contributing Action (Describe in Narrative),No Apparent Contributing Factor,33,M,West,Parked,Pickup Truck/Utility Van,25,0,0,,,,,,,,,,,,,,,,,,,,
1263568,1/2/2025,2025,1306,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,4. Grade - Curve,"1. Two-Way, Not Divided",4. Four Approaches,KENDRICK CASTILLO WY,NonVDOT secondary,KENDRICK CASTILLO WY & W BURGUNDY ST,,-104.994528,39.541889,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,10. Intersection Related - Within 150 Feet,2,0,0,0,colorado,County Road,DSO,4700,KENDRICK CASTILLO WY,W BURGUNDY ST,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,00131FW,,,,FALSE,,S01,2,Southeast,Going Straight,Passenger Car/Passenger Van,40,40,0,Careless Driving,Aggressive Driving,30,M,Southeast,Slowing,SUV,40,40,0,Other Contributing Action (Describe in Narrative),Aggressive Driving,48,M,,,,,,,,,,,,,,,,
1260353,1/2/2025,2025,1950,O,0,0,0,0,10. Deer/Animal,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,S PINERY DR,NonVDOT secondary,,,-104.748529,39.439746,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,21. Animal,1. On Roadway,8. Non-Intersection,1,0,0,0,colorado,County Road,DSO,4700,S PINERY DR,MEADOW VIEW LN,,crashlens_u5p9stw5.csv,1,Wild Animal,Wild Animal,00200FNW,,,DEER,FALSE,,N01,1,Southeast,Going Straight,Passenger Car/Passenger Van,25,25,25,No Contributing Action,No Apparent Contributing Factor,26,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1260376,1/3/2025,2025,0009,O,0,0,0,0,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,E WILDCAT RESERVE PKWY,NonVDOT secondary,E WILDCAT RESERVE PKWY & MCARTHUR RANCH RD,,-104.94105,39.52748,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,County Road,DSO,4700,E WILDCAT RESERVE PKWY,MCARTHUR RANCH RD,,crashlens_u5p9stw5.csv,2,Front to Side,Approach Turn,AT,,,,FALSE,,W01,2,Northwest,Making Left Turn,SUV,40,20,0,Failed to Yield ROW,Age/Driver Ability,16,F,Southeast,Going Straight,Passenger Car/Passenger Van,40,20,0,No Contributing Action,No Apparent Contributing Factor,16,M,,,,,,,,,,,,,,,,
1260464,1/3/2025,2025,1444,B,0,0,3,0,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,E HIGHLANDS RANCH PKWY,NonVDOT secondary,E HIGHLANDS RANCH PKWY & S UNIVERSITY BLVD,,-104.94467,39.54497,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,4,3,0,0,colorado,County Road,DSO,4700,E HIGHLANDS RANCH PKWY,S UNIVERSITY BLVD,,crashlens_u5p9stw5.csv,4,Front to Side,Broadside,AT,Side to Side-Same Direction,Side to Side-Same Direction,,FALSE,,N04,1,Northeast,Going Straight,SUV,45,30,0,Failed to Stop at Signal,Driver Unfamiliar With Area,56,M,Southeast,Going Straight,Pickup Truck/Utility Van,45,10,5,No Contributing Action,No Apparent Contributing Factor,62,M,,,,,,,,,,,,,,,,
1260363,1/3/2025,2025,1727,C,0,0,0,1,2. Angle,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,MACANTA BLVD,NonVDOT secondary,CROWFOOT VALLEY RD & MACANTA BLVD,,-104.83397,39.41957,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,9. Within Intersection,2,1,0,0,colorado,County Road,DSO,4700,MACANTA BLVD,CROWFOOT VALLEY RD,,crashlens_u5p9stw5.csv,2,Front to Side,Broadside,AT,,,,FALSE,,N02,4,Northwest,Making Left Turn,Pickup Truck/Utility Van,45,15,15,Failed to Yield ROW,Looked/Did Not See,46,M,Northeast,Going Straight,Passenger Car/Passenger Van,45,50,50,No Contributing Action,No Apparent Contributing Factor,20,F,,,,,,,,,,,,,,,,
1262211,1/3/2025,2025,2130,O,0,0,0,0,16. Other,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",4. Four Approaches,STARWOOD LN,NonVDOT secondary,N ROSEBUD PL & STARWOOD LN,,-104.797079,39.559404,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,6. Parked Vehicle,1. On Roadway,9. Within Intersection,2,0,0,0,colorado,County Road,DSO,4700,STARWOOD LN,N ROSEBUD PL,,crashlens_u5p9stw5.csv,2,Parked Motor Vehicle,Parked Motor Vehicle,00005FN,,,,FALSE,,N01,1,West,Making Right Turn,Non-School Bus (nine occupants or more including driver) in commerce,25,5,5,Improper Passing on Right,Driver Inexperience,37,M,North,Parked,Passenger Car/Passenger Van,25,0,0,,,,,,,,,,,,,,,,,,,,
1262458,1/4/2025,2025,0550,O,0,0,0,0,1. Rear End,3. Fog/Smog/Smoke,5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,PINE DR,NonVDOT secondary,,,-104.755575,39.554906,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,County Road,DSO,4700,PINE DR,INSPIRATION DR,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,0.25MN,,,,FALSE,,N01,2,South,Going Straight,SUV,40,30,0,Careless Driving,,36,F,South,Going Straight,Passenger Car/Passenger Van,40,20,20,No Contributing Action,No Apparent Contributing Factor,24,F,,,,,,,,,,,,,,,,
