Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Relation To Roadway,Vehicle Count,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file,_co_total_vehicles,_co_mhe,_co_crash_type,_co_link,_co_second_he,_co_third_he,_co_wild_animal,_co_secondary_crash,_co_weather2,_co_lane_position,_co_injury00_uninjured,_co_tu1_direction,_co_tu1_movement,_co_tu1_vehicle_type,_co_tu1_speed_limit,_co_tu1_estimated_speed,_co_tu1_stated_speed,_co_tu1_driver_action,_co_tu1_human_factor,_co_tu1_age,_co_tu1_sex,_co_tu2_direction,_co_tu2_movement,_co_tu2_vehicle_type,_co_tu2_speed_limit,_co_tu2_estimated_speed,_co_tu2_stated_speed,_co_tu2_driver_action,_co_tu2_human_factor,_co_tu2_age,_co_tu2_sex,_co_nm1_type,_co_nm1_age,_co_nm1_sex,_co_nm1_action,_co_nm1_movement,_co_nm1_location,_co_nm1_facility,_co_nm1_contributing_factor,_co_nm2_type,_co_nm2_age,_co_nm2_sex,_co_nm2_action,_co_nm2_movement,_co_nm2_location,_co_nm2_facility,_co_nm2_contributing_factor
1260678,1/1/2025,2025,0014,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,5. Ice,4. Grade - Curve,"1. Two-Way, Not Divided",1. Not at Intersection,PLUM CREEK BLVD,NonVDOT secondary,,,-104.862591,39.338651,DOUGLAS,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,3. City or Town Hwy Agency,3. Utility Pole,3. Median,8. Non-Intersection,1,0,0,0,colorado,City Street,CRPD,0185,PLUM CREEK BLVD,CROSSHAVEN PL,CASTLE ROCK,crashlens_u5p9stw5.csv,1,Light Pole/Utility Pole,Light Pole/Utility Pole,AT,Sign,,,FALSE,,S01,2,Southwest,Out of Control,SUV,30,30,30,Too Fast for Conditions,Driver Inexperience,17,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1267072,1/1/2025,2025,0052,B,0,0,1,0,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,S PARKER RD,Primary,,59.807,-104.765034,39.519234,DOUGLAS,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,1,0,0,colorado,State Highway,PPD,083A,S PARKER RD,MAINSTREET,PARKER,crashlens_u5p9stw5.csv,2,Front to Side,Sideswipe Same Direction,N/O,Overturning/Rollover,Curb,,FALSE,,N01,6,North,Changing Lanes,Passenger Car/Passenger Van,45,80,65,Careless Driving,Other Factor (Describe in Narrative),22,M,North,Going Straight,SUV,45,45,45,No Contributing Action,No Apparent Contributing Factor,29,M,,,,,,,,,,,,,,,,
1261062,1/1/2025,2025,0312,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,2. Curve - Level,"1. Two-Way, Not Divided",4. Four Approaches,MEYERWOOD CIR,NonVDOT secondary,MEYERWOOD CIR & STONE MOUNTAIN DR,,-105.00367,39.52434,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,2. County Hwy Agency,27. Curb,4. Roadside,9. Within Intersection,1,0,0,0,colorado,County Road,DSO,4700,MEYERWOOD CIR,STONE MOUNTAIN DR,,crashlens_u5p9stw5.csv,1,Overturning/Rollover,Curb,AT,Overturning/Rollover,,,FALSE,,N01,3,East,Making Left Turn,SUV,25,40,35,Over-Correcting/ Over-Steering,Other Factor (Describe in Narrative),17,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1260924,1/1/2025,2025,0723,O,0,0,0,0,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,4. Grade - Curve,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,E-470 EB OFF RAMP,Primary,,3.456,-104.80935,39.55254,DOUGLAS,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,1. State Hwy Agency,8. Fence,4. Roadside,2. Acceleration/Deceleration Lanes,1,0,0,0,colorado,State Highway,CSP,470B,E-470 EB OFF RAMP,MM,PARKER,crashlens_u5p9stw5.csv,1,Fence,Fence,AT,Fence,,,FALSE,,ERS,1,West,Out of Control,Pickup Truck/Utility Van,75,10,0,Careless Driving,Asleep or Fatigued,29,M,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
1260687,1/1/2025,2025,0901,O,0,0,0,0,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,5. Ice,3. Grade - Straight,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,HWY 67,Primary,,124.702,-104.990877,39.411596,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,State Highway,DSO,067E,HWY 67,RAINBOW CREEK RD,,crashlens_u5p9stw5.csv,2,Side to Side-Same Direction,Sideswipe Same Direction,00730FSW,,,,FALSE,,W01,2,Southwest,Passing,Passenger Car/Passenger Van,50,60,60,Careless Driving,Other Factor (Describe in Narrative),25,M,Southwest,Going Straight,SUV,50,45,45,No Contributing Action,No Apparent Contributing Factor,44,M,,,,,,,,,,,,,,,,
1266610,1/1/2025,2025,1444,O,0,0,0,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,S PARKER RD,Primary,S PARKER RD & S TWENTY MILE RD,59.168,-104.763586,39.509998,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,10. Intersection Related - Within 150 Feet,2,0,0,0,colorado,State Highway,PPD,083A,S PARKER RD,S TWENTY MILE RD,PARKER,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,S/O,,,,FALSE,,N01,3,North,Going Straight,SUV,45,15,15,Followed Too Closely,No Apparent Contributing Factor,21,F,North,Slowing,Pickup Truck/Utility Van,45,30,30,No Contributing Action,No Apparent Contributing Factor,72,M,,,,,,,,,,,,,,,,
1260700,1/1/2025,2025,1625,C,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,I-25,Interstate,,183.864,-104.86538,39.40807,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,3,2,0,0,colorado,Interstate Highway,CSP,025A,I-25,MM 183.864,CASTLE ROCK,crashlens_u5p9stw5.csv,3,Side to Side-Same Direction,Sideswipe Same Direction,AT,Concrete Highway Barrier,Front to Rear,,FALSE,,N02,2,South,Changing Lanes,SUV,65,90,70,Careless Driving,Aggressive Driving,18,M,South,Going Straight,SUV,65,70,70,No Contributing Action,No Apparent Contributing Factor,70,M,,,,,,,,,,,,,,,,
1259931,1/1/2025,2025,2215,O,0,0,0,0,16. Other,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,1. Straight - Level,"1. Two-Way, Not Divided",1. Not at Intersection,7664 W ELMWOOD ST,NonVDOT secondary,,,-105.06865,39.47453,DOUGLAS,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,2. County Hwy Agency,6. Parked Vehicle,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,County Road,DSO,4700,7664 W ELMWOOD ST,GARWOOD ST,,crashlens_u5p9stw5.csv,2,Parked Motor Vehicle,Parked Motor Vehicle,00264FW,,,,FALSE,,WRS,1,Unknown,Other (Describe in Narrative),Passenger Car/Passenger Van,25,25,0,Other Contributing Action (Describe in Narrative),No Apparent Contributing Factor,33,M,West,Parked,Pickup Truck/Utility Van,25,0,0,,,,,,,,,,,,,,,,,,,,
1542121,1/2/2025,2025,0654,O,0,0,0,0,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,3. Grade - Straight,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,HWY 83,Primary,,53.939,-104.760075,39.436121,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,8. Non-Intersection,2,0,0,0,colorado,State Highway,CSP,083A,HWY 83,S PINERY PKWY,,crashlens_u5p9stw5.csv,2,Side to Side-Same Direction,Sideswipe Same Direction,01500FS,,,,FALSE,,N02,2,North,Changing Lanes,Passenger Car/Passenger Van,55,30,20,Lane Violation,Looked/Did Not See,64,F,North,Going Straight,"Medium/Heavy Trucks, GVWR/GCWR 16,001 or over",55,55,55,No Contributing Action,No Apparent Contributing Factor,45,M,,,,,,,,,,,,,,,,
1259792,1/2/2025,2025,1110,B,0,0,1,0,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,C-470 WB OFF RAMP,Primary,,19.875,-104.98249,39.56556,DOUGLAS,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,1. State Hwy Agency,20. Motor Vehicle In Transport,1. On Roadway,2. Acceleration/Deceleration Lanes,2,1,0,0,colorado,State Highway,CSP,470A,C-470 WB OFF RAMP,MM 19.875,,crashlens_u5p9stw5.csv,2,Front to Rear,Rear-End,AT,Overturning/Rollover,,,FALSE,,W01,1,West,Changing Lanes,Motorcycle,65,65,65,No Contributing Action,No Apparent Contributing Factor,25,M,West,Changing Lanes,SUV,65,40,40,No Contributing Action,No Apparent Contributing Factor,30,F,,,,,,,,,,,,,,,,
