OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y,CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
1,DE-nan-000001,,,,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.5409314,39.1059209,,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.1059209,-75.5409314,,,0,No,N,,,,,N,POINT (-75.540931400021 39.105920900163),K,Kent,
2,DE-nan-000002,,,,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.6213588,39.7356938,,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.7356938,-75.6213588,,,0,No,N,,,,,N,POINT (-75.621358799897 39.735693799943),N,New Castle,
3,DE-nan-000003,,,,O,0,0,0,0,0,0,0,,Not Provided,5. Rain,5. Darkness - Road Not Lighted,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,001,001. Kent County,,,,,,,,,,,,,-75.6052715,39.2974645,,1,Sunday,2,Property Damage Only,N,N,99,Unknown,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,,,Y,N,N,N,N,39.2974645,-75.6052715,,,0,No,N,,,,,N,POINT (-75.605271500295 39.2974645003),K,Kent,
4,DE-2012-000004,2012,04/29/2012,1732,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.73633,39.66174,2012 Apr 29 05:32:00 PM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.66174,-75.73633,8,Following too close,0,No,N,,,,,N,POINT (-75.736330000437 39.661740000052),N,New Castle,2012
5,DE-2015-000005,2015,07/17/2015,1515,O,0,0,0,0,0,0,0,,Not Provided,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Unbelted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.63543,39.66216,2015 Jul 17 03:15:00 PM,6,Friday,2,Property Damage Only,N,N,99,Unknown,N,N,1,Dry,1,Daylight,1,Clear,,,N,N,N,N,N,39.66216,-75.63543,99,Unknown,0,No,N,,,,,N,POINT (-75.635429999728 39.662159999798),N,New Castle,2015
6,DE-2009-000006,2009,11/06/2009,2013,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.5120003,39.1573366,2009 Nov 06 08:13:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.1573366,-75.5120003,8,Following too close,0,No,N,,,,,N,POINT (-75.512000300202 39.157336599703),K,Kent,2009
7,DE-2009-000007,2009,12/03/2009,0240,B,0,0,1,0,1,0,0,,8. Non-Collision,5. Rain,5. Darkness - Road Not Lighted,2. Wet,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,Yes,,005,005. Sussex County,,,,,,,,,,,,,-75.5855658,38.60802,2009 Dec 03 02:40:00 AM,4,Wednesday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,,,Y,N,N,N,N,38.60802,-75.5855658,,,0,No,N,,,,,N,POINT (-75.585565800202 38.608020000251),S,Sussex,2009
8,DE-2014-000008,2014,07/22/2014,1025,O,0,0,0,0,0,0,0,,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,005,005. Sussex County,,,,,,,,,,,,,-75.16804,38.75045,2014 Jul 22 10:25:00 AM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.75045,-75.16804,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.168039999745 38.750450000335),S,Sussex,2014
9,DE-2013-000009,2013,12/14/2013,1411,O,0,0,0,0,0,0,0,,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,001,001. Kent County,,,,,,,,,,,,,-75.45237,38.94225,2013 Dec 14 02:11:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.94225,-75.45237,12,Driving in a careless or reckless manner,0,No,N,,,,,N,POINT (-75.45236999959 38.942250000299),K,Kent,2013
10,DE-2012-000010,2012,10/05/2012,1238,O,0,0,0,0,0,0,0,,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,Not Provided,,,,,,,,2. No,,,Not Provided,,,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,No,No,,003,003. New Castle County,,,,,,,,,,,,,-75.50643,39.78019,2012 Oct 05 12:38:00 PM,6,Friday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.78019,-75.50643,99,Unknown,0,No,N,,,,,N,POINT (-75.506429999839 39.780189999689),N,New Castle,2012
