OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y
1,170785244,2017,3/15/2017 4:00,845,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,1. Yes,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,No,5. Hampton Roads,121,121. City of Newport News,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,S-VA121PR IVY AVE,0.59,731559,48.57,-76.41507014,36.97593488
2,173135321,2017,11/3/2017 4:00,1718,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,4. Richmond,20,020. Chesterfield County,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Urban,VDOT Secondary,1,1. State Hwy Agency,"Richmond Regional, Crater",RICH,R-VA020SC00651WB,9.83,203463,9.78,-77.50998489,37.45512561
3,173035461,2017,10/30/2017 4:00,734,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,8. Staunton,112,112. Town of Front Royal,"4-Minor Arterial (H,3)",4-Two-Way Divided,Rural,VDOT Primary,2,1. State Hwy Agency,Northern Shenandoah Valley,,R-VA   US00340NB,94.13,713190,84.94,-78.19756822,38.9086098
4,172925444,2017,10/19/2017 4:00,511,O,0,0,0,0,0,0,0,1,10. Deer,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,23. Animal,1. On Roadway,No,Yes,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,6. Fredericksburg,16,016. Caroline County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Rural,VDOT Primary,1,1. State Hwy Agency,George Washington Regional,,R-VA   US00301NB,111.74,1168608,174.41,-77.34181695,38.03467204
5,172245260,2017,8/12/2017 4:00,218,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,No,No,Yes,Yes,5. Hampton Roads,133,133. City of Suffolk,"4-Minor Arterial (H,3)",3-Two-Way Undivided,Urban,NonVDOT primary,5,3. City or Town Hwy Agency,Hampton Roads,HAMP,R-VA   SR00337WB,1.29,469440,18.78,-76.57722324,36.72641757
6,172585274,2017,9/15/2017 4:00,624,B,0,0,1,0,1,0,0,2,2. Angle,4. Mist,5. Darkness - Road Not Lighted,2. Wet,12. Crossover Related,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,No,,NOT_RD,Not Intersection,Yes,No,Yes,Yes,4. Richmond,20,020. Chesterfield County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Rural,VDOT Primary,1,1. State Hwy Agency,"Richmond Regional, Crater",RICH,R-VA   US00360EB,115.2,,,-77.813076,37.37185732
7,173495215,2017,12/15/2017 5:00,920,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,4. Fence Or Post,1. On Roadway,No,No,Unbelted,No,No,No,No,No,No,No,No,No,No,,RD_LEFT,Not Intersection,No,No,Yes,No,4. Richmond,127,127. City of Richmond,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,1,1. State Hwy Agency,Richmond Regional,RICH,R-VA   IS00195NB,0.88,,,-77.48735462,37.56099731
8,170885135,2017,3/23/2017 4:00,1710,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,4. Richmond,42,042. Hanover County,6-Minor Collector (5),3-Two-Way Undivided,Urban,VDOT Secondary,1,1. State Hwy Agency,Richmond Regional,RICH,R-VA042SC01261NB,0.06,740232,124.82,-77.4407529,37.69200248
9,170245050,2017,1/22/2017 5:00,1045,O,0,0,0,0,0,0,0,2,2. Angle,4. Mist,2. Daylight,2. Wet,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,No,No,Yes,No,2. Salem,128,128. City of Roanoke,"7-Local (J,6)",3-Two-Way Undivided,Urban,NonVDOT secondary,6,3. City or Town Hwy Agency,Roanoke Valley-Alleghany,ROAN,S-VA128PR 6TH ST SW,0.42,1028744,5.4,-79.95289411,37.26728019
10,173405408,2017,12/6/2017 5:00,1708,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",2. Two Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,Yes,4. Richmond,127,127. City of Richmond,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,NonVDOT primary,1,3. City or Town Hwy Agency,Richmond Regional,RICH,R-VA   SR00147EB,7.88,209950,163.77,-77.52323374,37.56896792
