CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.1059209,-75.5409314,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.540931400021 39.105920900163),K,Kent,
,5,Thursday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.7356938,-75.6213588,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.621358799897 39.735693799943),N,New Castle,
,1,Sunday,2,Property Damage Only,N,N,99,Unknown,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,39.2974645,-75.6052715,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.605271500295 39.2974645003),K,Kent,
2012 Apr 29 05:32:00 PM,1,Sunday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.66174,-75.73633,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.736330000437 39.661740000052),N,New Castle,"2,012"
2015 Jul 17 03:15:00 PM,6,Friday,2,Property Damage Only,N,N,99,Unknown,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,N,N,N,N,N,39.66216,-75.63543,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.635429999728 39.662159999798),N,New Castle,"2,015"
2009 Nov 06 08:13:00 PM,6,Friday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.1573366,-75.5120003,8,Following too close,0,No,N,NA,NA,NA,NA,N,POINT (-75.512000300202 39.157336599703),K,Kent,"2,009"
2009 Dec 03 02:40:00 AM,4,Wednesday,3,Personal Injury Crash,N,N,0,Not a collision between two vehicles,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,38.60802,-75.5855658,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.585565800202 38.608020000251),S,Sussex,"2,009"
2014 Jul 22 10:25:00 AM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.75045,-75.16804,11,"Driver inattention, distraction, or fatigue",0,No,N,NA,NA,NA,NA,N,POINT (-75.168039999745 38.750450000335),S,Sussex,"2,014"
2013 Dec 14 02:11:00 PM,7,Saturday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.94225,-75.45237,12,Driving in a careless or reckless manner,0,No,N,NA,NA,NA,NA,N,POINT (-75.45236999959 38.942250000299),K,Kent,"2,013"
2012 Oct 05 12:38:00 PM,6,Friday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.78019,-75.50643,99,Unknown,0,No,N,NA,NA,NA,NA,N,POINT (-75.506429999839 39.780189999689),N,New Castle,"2,012"
